NAME,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD  54433,07 08 51.6194880360,+00 00 35.130156237,-7.922,-3.279,8.63,8.59,8.466,8.486,8.472
HIP  44227,09 00 29.8145590340,+00 09 25.223893718,-3.717,-0.974,8.39,8.35,8.241,8.312,8.258
HIP  36852,07 34 37.8434076747,+00 10 27.745872891,-2.161,2.335,8.46,8.43,8.356,8.341,8.319
HIP  35309,07 17 37.3775630081,+00 10 52.412272931,-11.276,-21.741,7.85,7.84,7.779,7.818,7.782
HIP  41345,08 26 07.0768546283,+00 13 48.136523290,-6.66,-30.043,8.57,8.55,8.547,8.553,8.564
HIP  39664,08 06 20.2400917720,+00 18 20.370898933,-5.011,-0.12,8.41,8.37,8.293,8.313,8.27
HD  36056,05 29 00.7374768396,+00 18 25.762822145,1.899,-0.333,8.97,8.91,8.734,8.715,8.76
HD  44839,06 24 03.3119026427,+00 19 04.215481299,-10.031,-6.153,8.97,8.92,8.798,8.843,8.806
HD  60084,07 32 57.2624435182,+00 38 48.280526241,-1.702,-0.537,8.82,8.78,8.655,8.676,8.635
HD 196057,20 34 56.1046776388,+00 40 00.248044132,18.356,6.308,8.74,8.68,8.587,8.59,8.545
HD  38857,05 48 43.0653318839,+00 40 01.306441854,-3.038,0.554,9.44,9.41,9.414,9.442,9.401
HD 292270,06 47 04.1744693893,+00 41 34.228028778,-1.971,-4.361,10.87,10.8,10.489,10.457,10.44
HIP  30692,06 26 58.8243179002,+00 50 27.757206703,-5.097,1.294,6.711,6.678,6.575,6.542,6.541
HD 196553,20 38 10.7448179710,+00 56 20.503155490,0.213,-1.315,9.66,9.64,9.402,9.415,9.389
HD  53360,07 04 54.9070438377,+01 05 37.641152354,-0.963,-7.432,8.21,8.21,8.18,8.196,8.2
HIP  13917,02 59 16.7596696192,+01 14 40.476331518,12.387,-5.149,8.66,8.63,8.504,8.499,8.519
HIP  46633,09 30 35.0828897373,+01 15 26.135961957,-15.314,2.974,7.48,7.43,7.317,7.38,7.32
HD  59016,07 28 10.1442020641,+01 19 08.826768143,-3.746,2.525,9.63,9.66,9.515,9.512,9.485
HD  48102,06 41 50.0771067008,+01 29 13.571808756,0.678,-1.637,8.97,8.9,8.8,8.816,8.815
HD  31642,04 57 35.0166780343,+01 33 53.786577171,-1.716,-5.017,9.63,9.56,9.159,9.155,9.111
HD  35332,05 24 07.8591133510,+01 38 00.146442878,1.101,0.168,9.37,9.34,9.373,9.361,9.394
HIP  28590,06 02 05.6613390920,+01 45 39.166621302,-7.572,-6.8,8.06,7.99,7.86,7.873,7.845
HD  71925,08 30 07.5384726591,+01 49 00.304201552,-9.983,-1.113,9.64,9.57,9.359,9.351,9.32
HIP  31420,06 35 04.2011502958,+01 49 00.741851394,-9.245,3.964,7.63,7.62,7.559,7.586,7.541
HIP  71973,14 43 13.0736135344,+01 49 28.975961778,-34.358,-19.586,7.34,7.33,7.26,7.298,7.252
HIP  23714,05 05 54.6087906147,+01 51 07.985521389,0.244,0.474,8.19,8.16,8.112,8.155,8.143
HD  35625,05 26 11.9828639257,+01 53 35.730415710,1.422,-0.296,9.37,9.33,9.348,9.352,9.32
HIP  24607,05 16 41.0392756548,+01 56 50.380674095,-11.467,-7.519,6.402,6.408,6.353,6.378,6.303
HD  41287,06 04 22.9610426552,+02 05 18.404672136,-2.342,-6.579,8.85,8.79,8.639,8.682,8.621
HIP  35724,07 22 11.7817240093,+02 08 34.649852675,-4.915,-10.34,8.25,8.19,8.09,8.088,8.081
HIP  39621,08 05 47.7045907119,+02 09 54.423189044,-2.643,-10.752,6.81,6.82,6.773,6.751,6.729
HD 205337,21 34 31.6179043111,+02 10 05.596467243,11.686,1.909,9.63,9.57,9.431,9.441,9.433
HD  57859,07 23 14.7550466960,+02 10 55.658124073,-5.151,-0.278,8.98,8.96,8.869,8.914,8.889
HD  58163,07 24 35.3046667454,+02 11 54.918318945,-3.111,-1.27,9.99,10,9.856,9.847,9.799
HIP  25511,05 27 20.5887649433,+02 12 57.092914025,1.61,-1.158,9.21,9.17,9.139,9.151,9.147
HIP  87939,17 57 51.0011129298,+02 15 12.795692338,-0.847,1.461,7.02,6.94,6.598,6.616,6.573
HIP  31698,06 37 53.0471104420,+02 16 09.936627324,-0.23,-9.205,7.26,7.26,7.341,7.327,7.315
HIP  30594,06 25 46.5280267247,+02 16 18.038396264,-2.078,-16.052,6.48,6.51,6.499,6.505,6.51
HIP  36331,07 28 41.9363882861,+02 17 00.537267489,-1.655,-26.691,7.45,7.38,7.266,7.292,7.295
HD  48033,06 41 30.3891167873,+02 18 12.517326441,-12.461,-9.467,8.82,8.76,8.604,8.611,8.579
HD  44374,06 21 42.7541258689,+02 23 46.733597812,4.395,-13.186,9.27,9.21,9.101,9.163,9.081
HD  16286,02 36 54.7713085825,+02 27 15.556269791,11.258,-1.17,9.01,9.01,9.034,9.054,9.008
HIP  56376,11 33 22.6308322280,+02 27 49.944976039,-20.933,21.449,8.07,8.03,7.885,7.895,7.837
HIP  26055,05 33 27.4326550453,+02 39 05.687696778,1.674,-0.473,9.04,9.03,9.072,9.075,9.038
HD  31041,04 52 44.6091760733,+02 41 14.940920203,2.676,-5.199,9.53,9.46,9.243,9.241,9.2
HD  36708,05 33 53.9691030220,+02 43 40.849772785,-16.992,-15.959,9.35,9.33,9.25,9.274,9.194
HIP  48704,09 55 59.5795637738,+02 47 55.532043709,-15.529,-10.782,8.35,8.37,8.421,8.444,8.456
HIP 115428,23 22 53.2271158211,+02 49 05.915478022,20.421,-13.396,7.06,7.03,6.969,7.003,6.986
HD  64274,07 53 10.0213624534,+02 49 31.909814958,-7.018,-3.835,9.23,9.19,9.168,9.17,9.165
HD  50527,06 53 46.2921653375,+02 56 13.583698777,-3.425,-0.743,9.36,9.32,9.121,9.111,9.087
HIP 101114,20 29 44.8586530006,+02 59 46.408279361,7.833,-3.801,7.08,7.08,7.024,7.036,7.053
HIP  15830,03 23 54.8445716436,+03 02 36.789052270,12.755,-6.189,8.27,8.2,7.947,7.975,7.941
HIP  29766,06 16 05.2054146036,+03 05 50.796139086,5.007,-6.986,8.11,8.04,7.861,7.914,7.802
HD  62287,07 43 14.4636170307,+03 07 48.464832017,-4.598,-1.335,8.1,8.06,7.92,7.939,7.91
HD 116913,13 26 44.6674100333,+03 08 20.686460409,0.462,-15.403,9.36,9.29,9.119,9.126,9.097
HIP  61637,12 38 04.4158502713,+03 16 56.800513912,-30.576,-11.553,6.337,6.334,6.257,6.301,6.231
HIP  23014,04 56 59.2950320177,+03 17 09.819474602,-4.548,8.676,7.39,7.33,7.164,7.24,7.137
HD  59565,07 30 35.0384026033,+03 20 37.607547951,-5.058,-0.991,8.91,8.89,8.861,8.898,8.896
HD  85377,09 51 28.8413095025,+03 22 06.380375992,-6.148,-5.937,7.53,7.51,7.48,7.446,7.449
HD  55164,07 11 55.2982303843,+03 22 17.711878168,-3.193,-1.975,10.18,10.13,10.045,10.062,10.021
HD 195219,20 29 55.7114241814,+03 22 43.690840535,2.04,-42.859,8.51,8.51,8.459,8.527,8.48
HD 193670,20 21 22.1083498974,+03 24 17.488741776,12.024,-9.477,8.71,8.66,8.481,8.485,8.474
HD  73331,08 37 58.2618137801,+03 24 35.913376492,-4.777,-4.12,9.23,9.18,9.164,9.194,9.201
HD 182494,19 24 45.5815668568,+03 26 00.031332507,0.052,-6.914,8.95,8.9,8.567,8.62,8.575
HD  43339,06 15 52.4472156046,+03 26 22.325693586,-3.617,-0.429,8.51,8.47,8.389,8.409,8.338
HD  56608,07 17 46.8494293982,+03 30 19.594079656,-6.584,0.069,9.37,9.3,9.263,9.252,9.237
HIP  58510,11 59 56.9127613024,+03 39 18.744123054,-18.157,-7.428,5.346,5.345,5.341,5.356,5.336
HIP  22367,04 48 56.2555179563,+03 41 22.923180936,-14.97,-12.973,7.03,7.01,6.973,6.974,6.963
HD  55681,07 14 02.6912840218,+03 43 37.822269561,-1.9,-2.7,9.6,9.58,9.411,9.423,9.409
HIP  99988,20 17 02.5692776796,+03 46 32.917090642,2.165,-10.968,9.2,9.16,9.001,9.009,9.017
HIP  45167,09 12 12.8805445279,+03 52 01.126391034,-51.3,-5.71,6.127,6.131,6.142,6.163,6.119
HIP  19831,04 15 08.5668475966,+03 57 26.557910321,19.458,-10.289,7.78,7.71,7.47,7.471,7.442
HIP  13682,02 56 14.0520703923,+04 02 54.357582775,2.838,-7.835,7.74,7.71,7.664,7.695,7.695
HD  63591,07 49 49.3126115786,+04 08 03.441582819,0.43,-0.836,9.34,9.34,9.327,9.37,9.305
HD  60320,07 34 02.4143957994,+04 14 28.788456231,-3.333,-9.448,9.69,9.63,9.557,9.555,9.525
HIP  30926,06 29 26.5019641186,+04 15 11.703313335,-7.946,-9.282,7.57,7.55,7.434,7.434,7.45
HD  47272,06 37 57.7914474630,+04 15 30.725404414,-10.674,-2.325,7.65,7.62,7.526,7.525,7.5
HIP  61628,12 37 51.8271752985,+04 17 19.021486732,-27.792,-33.207,7.06,6.98,6.829,6.806,6.787
HD  56687,07 18 17.6122536307,+04 21 28.723225514,-7.852,-7.721,9.05,9.01,8.822,8.85,8.823
HD  38911,05 49 18.0217097175,+04 22 15.205794896,-6.916,1.422,8.87,8.81,8.627,8.586,8.586
HIP 101069,20 29 20.9243608082,+04 35 18.228860786,1.317,-4.178,9.05,9.01,8.876,8.947,8.904
HD 259301,06 32 25.3256047505,+04 35 25.753879751,-1.985,-5.046,10.97,10.9,10.761,10.776,10.764
HIP  32387,06 45 33.0894263820,+04 35 38.834371951,-12.58,-4.12,7.07,7.04,6.922,6.961,6.938
HD  10441,01 41 56.1397460514,+04 40 22.085424125,6.498,2.46,8.8,8.75,8.619,8.624,8.636
HD 261911,06 40 48.1113663380,+04 41 23.870066648,-1.47,-4.219,10.11,10.06,10.002,10.012,9.968
HD  47651,06 39 50.4546138598,+04 43 32.781500436,-6.659,-6.522,8.94,8.88,8.812,8.833,8.848
HD  45432,06 27 25.7484590349,+04 43 40.457980066,-5.374,-5.837,9.31,9.29,9.251,9.264,9.252
HIP  28027,05 55 38.7813571135,+04 44 47.723522083,-7.622,-6.594,8.56,8.56,8.477,8.491,8.497
HD  54102,07 07 47.8978946576,+04 50 15.048118147,-4.975,-4.815,9.85,9.78,9.599,9.571,9.54
HIP  28540,06 01 30.3595123907,+04 54 46.328046012,-6.776,-6.895,9.11,9.04,8.934,8.965,8.941
HIP  22923,04 55 58.3522255816,+05 23 56.487390972,-16.758,-14.817,6.52,6.485,6.391,6.45,6.417
HD 262111,06 41 37.8239896081,+08 12 21.933063278,-2.385,-1.471,10.07,10.01,9.969,10.026,9.988
HIP  33297,06 55 34.6182432744,+08 19 27.432657057,-13.74,4.122,6.305,6.258,6.178,6.165,6.131
HD 263425,06 45 47.8029254153,+08 33 07.783842441,-0.326,-2.928,9.34,9.41,9.445,9.452,9.439
HD 263068,06 44 41.4013751139,+09 27 24.047311739,-1.688,-4.088,9.08,9.1,9.089,9.101,9.084
HD  48783,06 45 32.9710142245,+10 21 53.264026025,1.198,-5.637,9.14,9.1,9.021,8.986,9.025
HD  47337,06 38 33.2996472795,+10 35 59.214417896,-6.882,-8.302,9.1,9.08,9.228,9.229,9.177
HD 264653,06 50 01.0393067381,+10 49 56.100257837,-0.348,-5.02,10.32,10.35,10.062,10.065,10.064
HIP  24555,05 16 04.1347256778,+11 20 28.878981087,-8.003,-6.056,5.5,5.515,5.443,5.474,5.462
HIP  98400,19 59 35.1125456405,+11 53 21.782135244,-0.03,-3.381,9.09,9.03,8.791,8.767,8.756
HIP  65599,13 26 58.9426109229,+11 54 30.791001068,0.786,-5.229,7.97,8,7.929,7.975,7.938
HD 261877,06 41 02.7224072567,+12 03 28.032143440,-1.294,-3.92,10.33,10.278,9.922,9.906,9.904
HIP  98640,20 02 04.9381651055,+12 19 19.545418843,3.423,0.611,9.42,9.36,9.096,9.082,9.046
HIP  62745,12 51 23.3274084962,+12 22 21.999459277,-6.08,13.24,8.86,8.86,8.73,8.787,8.76
HIP  75230,15 22 23.2337663262,+12 34 03.076671000,-0.719,-2.99,6.275,6.28,6.217,6.256,6.248
HD  96781,11 08 56.3669482115,+13 21 11.258254230,-6.433,-0.332,10.22,10.2,10.058,10.036,10.035
HD  56248,07 16 54.6066706704,+15 26 26.614031613,-1.856,-9.158,9.08,9.04,8.959,9.015,8.964
HD  57208,07 20 50.5653738450,+15 39 55.892870096,-8.533,-8.386,8.91,8.92,8.906,8.946,8.944
HIP  56736,11 37 57.8095036499,+15 46 36.868596254,-7.198,-2.144,8.77,8.78,8.79,8.828,8.793
HIP  68209,13 57 52.1210070217,+16 12 07.519205813,16.63,-48.929,7.646,7.583,7.39,7.462,7.408
HIP  79332,16 11 28.7384316179,+16 39 56.488599057,3.534,4.791,6.099,6.082,6.012,6.036,6.033
HD  57450,07 21 54.7650772789,+16 40 44.199271027,-1.291,-2.088,9.28,9.3,9.279,9.282,9.277
HIP  18717,04 00 36.8877857685,+17 17 47.971091271,1.792,-31.228,6.352,6.305,6.064,6.09,6.074
HD 124773,14 15 11.0996685348,+17 31 03.270868216,-16.89,7.113,8.97,8.96,8.991,9.071,9.017
HIP  88429,18 03 14.5626024091,+19 36 47.356031308,-4.631,-1.019,6.45,6.42,6.275,6.274,6.279
HD 252510,06 09 44.8499875230,+20 04 41.920528245,1.378,-3.883,9.79,9.78,9.569,9.571,9.533
HIP  95560,19 26 13.2462609696,+20 05 51.839397272,3.395,-34.787,5.585,5.591,5.575,5.627,5.613
HIP  61138,12 31 41.2769591791,+22 07 24.419005145,-42.171,3.126,8.86,8.82,8.731,8.749,8.735
HD  23629,03 47 21.0381093918,+24 06 58.563413901,20.802,-45.044,6.3,6.28,6.228,6.248,6.257
HIP  59861,12 16 33.8853004092,+24 36 33.739843860,-1.968,-16.494,10.68,10.73,10.592,10.637,10.629
HIP  14719,03 10 08.8393698592,+27 49 11.158125575,17.598,-50.863,6.427,6.412,6.29,6.335,6.318
HD  46053,06 32 22.2333858052,+29 22 48.722884252,5.335,-15.246,8.98,8.92,8.675,8.676,8.661
HD 258439,06 30 53.8027292087,+29 25 23.624592383,1.203,-4.868,9.49,9.43,9.155,9.114,9.104
BD+30  3488,19 15 20.1913613276,+30 28 03.530346219,1.207,-4.013,9.48,9.48,9.368,9.391,9.369
HIP  10559,02 15 56.2880251756,+33 21 32.020541944,-15.586,-31.952,5.239,5.249,5.195,5.22,5.228
HIP  55627,11 23 46.4660824618,+34 14 33.809048131,16.85,-14.02,9.25,9.24,9.2,9.181,9.165
HD 227934,20 08 54.8913078526,+35 24 05.693757763,0.606,-2.944,9.44,9.42,9.065,9.09,9.048
BD+35  4511,21 24 20.5233753566,+36 30 26.369154170,1.429,-2.182,9.6,9.58,9.596,9.596,9.626
HIP  18769,04 01 14.8320019960,+36 59 22.104358395,-7.449,-0.555,6.387,6.389,6.256,6.292,6.268
HD 192745,20 15 02.5008723085,+37 23 24.287677051,-11.405,-9.41,8.2,8.19,8.103,8.138,8.138
HIP  17254,03 41 43.3547452982,+37 35 13.757848086,22.267,-27.979,7.85,7.8,7.622,7.658,7.631
HD 228585,20 15 21.3384509024,+37 35 53.102650606,-3.584,-7.493,9.569,9.56,9.484,9.484,9.475
HD 191225,20 07 28.0718353313,+37 38 41.348758982,3.459,-5.477,8.55,8.55,8.496,8.522,8.536
HIP 111538,22 35 48.0547141821,+40 05 27.401482381,-2.547,-5.19,9.48,9.47,9.393,9.431,9.406
HIP  55182,11 17 55.1536761760,+40 50 14.413584402,7.902,2.62,8.98,8.93,8.869,8.888,8.884
HIP  15925,03 25 09.3866012988,+41 15 26.281500352,-8.807,5.235,6.55,6.52,6.333,6.356,6.34
HD 225704,19 45 44.9125789392,+41 49 22.790178288,-0.251,-8.825,11.12,11.21,10.71,10.719,10.673
HIP  96252,19 34 18.1906929215,+41 55 37.987600079,11.271,-7.964,6.664,6.676,6.617,6.647,6.646
HD  63160,07 49 19.6348110377,+43 14 43.606322392,-4.072,-2.768,9.26,9.24,9.092,9.094,9.064
HIP 109079,22 05 50.4496250472,+45 06 44.996802700,14.097,-4.188,6.458,6.494,6.528,6.595,6.559
BD+44  3588,20 48 00.4155718844,+45 21 53.348178208,-3.251,-5.493,9.62,9.62,9.465,9.447,9.419
HIP  53735,10 59 40.2071243687,+45 47 18.886479262,-0.314,-15.961,8.88,8.89,8.874,8.881,8.856
HD  92573,10 42 07.6697075389,+45 50 54.171797155,-2.201,1.349,10.1,10.09,9.996,9.971,9.995
HD 199006,20 52 31.8839484078,+46 27 19.514268355,6.731,-0.729,9.16,9.1,8.944,8.968,8.933
HD 200252,21 00 47.4540507977,+47 05 31.015349237,3.418,-0.394,9.39,9.46,9.423,9.414,9.41
HIP  10819,02 19 16.7969275675,+47 22 47.913234056,-60.03,-5.61,5.31,5.31,5.254,5.306,5.271
HIP  16966,03 38 15.5794022406,+47 34 37.150848627,23.76,-28.801,7.47,7.46,7.363,7.393,7.375
BD+47  1133,05 20 07.3743637504,+48 00 18.986404558,-2.534,-3.956,10.36,10.31,9.757,9.772,9.72
HIP  21823,04 41 24.1281742512,+48 18 03.164350607,44.449,-45.056,5.642,5.652,5.663,5.668,5.649
HIP 114714,23 14 14.3815966698,+50 37 04.419701198,45.199,-5.922,6.3,6.31,6.297,6.315,6.321
HIP  67848,13 53 51.0141267619,+53 43 43.232639834,-28.776,-6.242,5.658,5.695,5.648,5.708,5.678
HIP  35787,07 22 53.8702499509,+55 20 27.232271938,-2.813,-31.837,7.56,7.57,7.498,7.555,7.514
HIP  66198,13 34 07.3058483257,+55 20 54.363510733,-19.323,-5.891,5.569,5.588,5.6,5.653,5.635
BD+55  3061,23 58 11.6610186834,+55 50 24.014632471,8.42,-3.421,9.53,9.51,9.286,9.318,9.297
HIP 117450,23 48 53.9576553953,+59 58 44.171694257,50.625,21.477,6.311,6.324,6.301,6.326,6.331
HD  20095,03 16 41.9190817980,+59 59 26.703414421,17.678,-17.627,8.17,8.12,8.001,8.04,8.024
HIP  15086,03 14 33.6188045785,+61 42 56.156673096,-11.328,0.711,7.93,7.88,7.659,7.657,7.646
HIP   1383,00 17 18.7344187940,+62 49 33.136822290,-32.055,29.494,8.66,8.6,8.317,8.326,8.326
BD+67   675,10 58 58.9425891194,+67 03 29.652288403,-6.75,-2.173,10.5,10.44,10.477,10.472,10.457
HD  95605,11 03 31.6631288408,+67 34 19.747281711,-0.893,-1.415,9.71,9.67,9.568,9.6,9.546
HIP 107555,21 47 00.8500914577,+70 09 03.174840455,-10.544,-24.979,6.44,6.45,6.402,6.443,6.417
HIP 114745,23 14 37.1041129704,+74 13 52.574678092,41.527,7.205,5.87,5.89,5.837,5.898,5.872
HD  55979,07 15 16.1182390720,-00 03 08.306350056,-1.624,-2.492,8.66,8.64,8.488,8.479,8.451
HIP  27101,05 44 48.5962181511,-00 03 43.022524204,-2.649,1.509,8.78,8.71,8.607,8.599,8.604
HIP  39930,08 09 17.9014221974,-00 07 00.977209422,-4.033,0.154,7.91,7.84,7.712,7.703,7.71
HIP 117016,23 43 17.8337989846,-00 09 20.097139731,7.467,-4.524,8.24,8.17,8.031,8.053,8.037
HIP  43612,08 52 57.5546375835,-00 09 30.129757500,-3.997,2.671,8.72,8.65,8.505,8.476,8.517
HD  50667,06 54 13.2434352635,-00 11 51.850221755,0.476,-0.561,9.46,9.44,9.384,9.365,9.385
HIP 105756,21 25 11.1068648395,-00 15 08.867823313,2.245,-4.229,9.52,9.45,9.434,9.403,9.378
HD  63390,07 48 43.1976985112,-00 15 32.860825836,-5.282,-0.817,8.81,8.75,8.616,8.612,8.642
HIP  31291,06 33 43.6182582953,-00 15 51.390437041,2.88,-26.6,8.33,8.3,8.265,8.325,8.291
HD  34502,05 17 55.0736472935,-00 17 02.048291963,0.928,-0.614,9.13,9.08,8.962,8.976,8.932
HD  31455,04 56 04.7070328001,-00 18 27.968790968,12.364,-10.036,9.34,9.28,9.197,9.153,9.187
HD  56082,07 15 33.4000348453,-00 19 31.091508559,-2.852,0.392,9.84,9.87,9.617,9.614,9.579
HD  37111,05 36 05.8735003980,-00 19 41.551497916,-1.38,-0.788,8.86,8.83,8.731,8.727,8.745
HIP 106758,21 37 33.7627729975,-00 23 26.021705165,-21.475,-28.283,6.274,6.214,6.098,6.043,6.048
HD  51248,06 56 37.6468328390,-00 25 29.503542419,0.454,-2.265,9.18,9.14,9.015,9.04,8.997
HIP  39931,08 09 18.2946033304,-00 26 57.358531178,-5.832,-8.453,7.51,7.52,7.492,7.528,7.489
HIP  23313,05 00 48.8072493514,-00 30 03.177109448,0.652,-0.021,9.53,9.49,9.422,9.429,9.396
BD-00  1836,07 49 50.3695875087,-00 36 25.634377032,-3.014,-2.424,10.47,10.4,10.385,10.398,10.368
HD  64605,07 54 42.3181523150,-00 37 24.864980042,-8.602,-5.56,8.86,8.81,8.697,8.706,8.686
HIP  38885,07 57 25.8598939703,-00 38 09.151313532,-21.607,-5.979,7.18,7.16,7.093,7.134,7.105
HD  43949,06 18 56.5213672619,-00 38 40.196763278,0.338,-4.282,9.3,9.25,9.059,9.032,9.066
HD  36825,05 34 24.8784869696,-00 45 47.795007768,1.8,-1.153,8.69,8.68,8.581,8.615,8.608
HIP  18863,04 02 38.4675151139,-00 48 03.762161679,8.521,-9.848,6.966,6.93,6.835,6.913,6.855
HD 291988,06 39 42.6795297853,-00 48 05.180276399,-5.11,-2.987,10.88,10.84,10.683,10.698,10.652
HD 197914,20 46 45.3897970535,-00 50 09.868321735,3.403,-20.724,8.62,8.6,8.493,8.471,8.488
HD  52458,07 01 13.6760690051,-01 01 50.657153312,-5.368,-2.642,8.78,8.8,8.731,8.743,8.705
HD  49433,06 48 21.2830964391,-01 02 56.720649114,-1.545,-5.31,9.25,9.2,8.982,9.003,8.948
HD  47159,06 37 09.2550792207,-01 08 13.792243686,3.976,-1.458,9.32,9.27,9.128,9.163,9.117
HIP  24758,05 18 29.9749517622,-01 08 17.664815366,0.849,-0.648,9.37,9.31,9.219,9.254,9.224
HD  49143,06 46 59.2807205460,-01 11 51.685208397,-5.26,2.048,10.07,10.08,9.804,9.797,9.769
HD  41503,06 05 33.5809868351,-01 15 11.095893141,-3.457,-3.067,9.02,9,8.818,8.778,8.773
HD  49225,06 47 25.2846164130,-01 18 17.412345727,-2.631,-4.461,8.77,8.73,8.495,8.501,8.46
HD  67593,08 08 42.0049523025,-01 24 07.290337950,-2.182,-0.524,8.87,8.86,8.894,8.944,8.906
HIP  32384,06 45 30.9366874548,-01 25 47.962165287,-2.022,-2.101,7.8,7.82,7.779,7.828,7.817
HD  53688,07 05 54.8145699023,-01 27 02.586252261,-2.723,-1.056,9.96,9.91,9.831,9.841,9.803
HD  63714,07 50 13.9931156689,-01 27 32.119093205,-11.294,-0.288,7.96,7.95,7.963,8.028,7.959
HIP  27226,05 46 12.4306479176,-01 31 24.624859612,-2.497,1.637,9.49,9.44,9.434,9.464,9.389
HD 201688,21 11 16.3922216236,-01 35 07.972482578,7.459,1.647,9.41,9.4,9.418,9.459,9.419
HD  37577,05 39 24.9236349370,-01 35 39.696447027,2.14,-1.376,9.31,9.3,9.233,9.252,9.224
HD  55059,07 11 19.8903023252,-01 38 15.664859307,-9.85,-2.125,9.08,9.06,8.954,8.944,8.935
HIP  35455,07 19 10.1759088884,-01 39 20.764181306,-5.61,0.916,7.95,7.95,7.809,7.785,7.755
HD 292346,06 45 19.3581261505,-01 40 41.183374027,-2.84,-0.55,11.36,11.29,11.02,10.99,10.982
HD  49829,06 50 11.8202192054,-01 43 48.729253908,-3.098,0.031,9.59,9.54,9.426,9.421,9.406
HD  37113,05 35 58.9865890856,-01 45 46.565836930,-1.28,0.632,8.69,8.7,8.525,8.484,8.518
HIP  25594,05 28 10.4613120977,-01 46 18.402675879,0.939,-0.688,8.4,8.36,8.24,8.196,8.185
HD  68463,08 12 28.0362831441,-01 46 44.989348358,-1.064,-3.401,9.54,9.57,9.51,9.507,9.478
HIP  56263,11 31 59.7814704705,-01 46 56.567901805,-66.61,6.779,7.33,7.34,7.317,7.362,7.306
HIP  28213,05 57 39.8783271253,-01 49 13.160766106,-7.134,-5.787,8.85,8.8,8.655,8.699,8.62
HIP  28109,05 56 26.5971175939,-01 49 27.124737322,-0.705,2.922,8.91,8.84,8.523,8.564,8.502
HD  50405,06 53 02.8926608231,-01 53 01.041021471,-1.258,-3.216,9.31,9.29,9.165,9.191,9.165
BD-01  1879,07 54 03.9469581530,-01 55 02.184298854,-4.562,-0.098,9.41,9.35,9.256,9.262,9.2
HD  50040,06 51 21.2105756702,-01 57 36.196457487,-2.016,-2.316,8.35,8.28,8.197,8.222,8.187
HIP  30118,06 20 16.2705650744,-02 03 16.604667750,0.508,-4.888,7.6,7.56,7.444,7.463,7.406
HIP  21316,04 34 35.1174349961,-02 04 57.947787433,7.27,0.649,8.19,8.16,8.14,8.2,8.157
HD  83513,09 38 53.5954876826,-02 06 03.204520811,-39.238,3.026,9.7,9.69,9.55,9.521,9.503
HIP  42028,08 34 01.6143548549,-02 09 05.594896178,-35.112,17.699,5.797,5.792,5.771,5.821,5.731
HD  66879,08 05 27.0405018913,-02 14 27.028844095,-5.296,0.345,10.02,10.02,9.884,9.86,9.827
HD  43423,06 15 58.4643382278,-02 16 32.433112514,-4.067,-1.667,8.81,8.81,8.81,8.891,8.808
HIP  19937,04 16 35.3495218832,-02 22 35.502414693,18.792,4.337,8.63,8.61,8.566,8.577,8.553
HIP  19049,04 04 53.3915760564,-02 25 37.616036113,-10.965,-12.486,7.06,7.06,7.066,7.121,7.091
HD  53239,07 04 12.1963070233,-02 28 17.656992814,-0.379,-0.646,9.9,9.88,9.719,9.739,9.686
HD  40348,05 58 07.0942672345,-02 33 27.411010162,-8.574,-0.756,9.09,9.04,8.902,8.911,8.879
HD  46926,06 35 53.6362275657,-02 34 49.620233335,-7.023,0.113,8.37,8.33,8.24,8.286,8.239
HD  42017,06 08 13.4151993937,-02 35 40.417424981,0.038,-2.431,9.06,9,8.849,8.865,8.888
HD  49144,06 46 53.1743214515,-02 42 23.275409384,-6.768,-2.85,9.15,9.14,9.066,9.093,9.093
HIP  67599,13 51 05.2518295160,-02 47 48.105409893,-65.689,26.446,8.22,8.15,7.997,8.043,7.962
HD  52289,07 00 27.5945244522,-02 58 38.550441721,-4.596,-0.741,9.19,9.19,9.042,9.062,9.046
HD 193782,20 22 13.0677257348,-03 04 21.848917874,-2.591,-4.847,9.91,9.88,9.718,9.72,9.677
HD  51894,06 58 59.4229316346,-03 09 27.501564380,-2.109,-0.576,9.72,9.66,9.538,9.531,9.495
HD  54541,07 09 02.2802243849,-03 09 42.493928214,-11.559,-3.923,8.68,8.69,8.626,8.673,8.639
HD 198882,20 53 30.4253232120,-03 10 00.833582653,3.415,-4.924,9.35,9.29,9.298,9.309,9.272
HD  49436,06 48 14.6605475650,-03 15 32.681835460,-5.53,-4.893,9.82,9.85,9.656,9.66,9.635
HIP  49545,10 06 58.9295929648,-03 17 02.419238770,-21.824,-0.896,7.82,7.76,7.692,7.682,7.654
HIP  35631,07 21 09.1215218010,-03 21 45.352553692,-3.121,6.556,8.3,8.3,8.249,8.236,8.241
HIP  74595,15 14 28.6337560486,-03 21 51.929695058,-28.844,-6.836,7.27,7.19,6.938,6.979,6.907
HIP  39556,08 04 58.6327096667,-03 29 44.923523453,-25.502,10.524,6.98,6.98,6.868,6.908,6.822
HIP  19440,04 09 49.1406066717,-03 34 24.629312141,6.719,6.967,6.88,6.85,6.699,6.727,6.683
HIP  29037,06 07 34.1674385097,-03 36 12.115433176,-5.22,-3.143,8.18,8.12,7.988,8.012,8.002
