NAME,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD  97012,11 09 18.9769828539,-56 51 09.866368567,-6.925,2.507,9.79,9.73,9.55,9.56,9.541
HD  87434,10 03 12.9285331890,-56 51 51.897828446,-17.837,8,9.48,9.45,9.349,9.344,9.299
HD 121856,13 59 35.5987287730,-56 55 21.584379233,-10.142,-4.43,10.36,10.41,10.15,10.168,10.13
HD  91618,10 33 26.8156096045,-56 56 59.877526147,-13.639,4.303,10.06,10,9.874,9.936,9.896
HD  89940,10 21 16.9415485110,-57 04 07.026714877,-13.625,9.792,9.33,9.28,9.214,9.243,9.217
HD  93053,10 43 30.9769343781,-57 15 10.384755766,-10.041,5.697,9.1,9.08,9.046,9.024,9.03
HD  73388,08 35 27.7705951934,-57 18 28.768427666,-8.147,2.567,9.2,9.13,9.053,9.064,8.997
HIP  58642,12 01 29.1924992327,-57 30 13.598806273,-58.51,-16.89,6.132,6.142,6.184,6.179,6.194
HD 156855,17 23 18.6260570734,-57 31 53.813574583,0.953,-8.216,9.29,9.21,9.059,9.024,9.027
HD 105177,12 06 40.2085271751,-57 32 50.191386666,-12.579,-1.691,10.26,10.29,10.106,10.11,10.115
HD 103571,11 55 29.0385698888,-57 35 50.866412840,-2.454,7.466,9.25,9.24,9.08,9.071,9.072
HIP  23252,05 00 13.6852931570,-57 36 27.869125030,12.49,17.793,8.03,8.02,7.98,7.986,7.957
HD  94611,10 54 21.5363062846,-57 38 53.266781123,-7.687,1.364,9.67,9.63,9.531,9.549,9.541
HD  63102,07 43 52.8194294956,-57 46 22.333551100,-5.592,13.987,9.16,9.09,8.805,8.825,8.773
HD  87542,10 03 53.7898706091,-57 46 34.281256985,-11.634,4.134,9.62,9.6,9.461,9.454,9.407
HIP 116966,23 42 35.9509163990,-57 57 42.055775987,-11.7,-7.307,7.97,7.93,7.854,7.853,7.809
HD 191412,20 12 42.9703810798,-58 00 32.949205135,2.624,-9.253,9.45,9.45,9.39,9.35,9.344
HD 100878,11 36 09.0976429664,-58 05 54.068295913,-20.763,-0.382,8.78,8.73,8.549,8.614,8.57
HD  98769,11 21 19.1651175215,-58 10 26.806622311,-17.178,2.094,9.08,9.13,9.062,9.08,9.039
HD   9545,01 32 12.7705967903,-58 22 59.216226486,10.32,12.37,9.26,9.19,9.01,9.026,8.981
HD  93159,10 44 12.0676291527,-58 23 05.291753076,-21.345,8.164,8.36,8.31,8.054,8.049,8
HD  81591,09 24 12.0115940076,-58 24 11.070705893,-13.091,6.931,9.71,9.64,9.493,9.461,9.453
HD 151461,16 50 55.3293723994,-58 26 55.188454389,0.899,-5.685,8.83,8.78,8.62,8.648,8.594
HD  96636,11 07 01.7472979725,-58 27 49.361414418,-10.857,4.252,9.061,9.024,8.865,8.852,8.814
HIP  43796,08 55 10.8303882198,-58 41 26.255739664,-21.439,9.992,8.62,8.59,8.503,8.548,8.539
HIP  40621,08 17 34.2000324198,-58 41 50.912114397,-9.141,17.911,6.97,6.98,7.008,7.044,7.009
HD  93712,10 47 54.7819963896,-58 41 55.508992812,-24.208,8.831,9.03,9.01,8.881,8.877,8.86
HD  97093,11 09 44.8687741842,-58 42 06.066279773,-10.919,5.275,8.722,8.752,8.588,8.62,8.563
HD 105922,12 11 32.3317868108,-58 44 23.648832581,-11.037,-1.693,9.6,9.54,9.386,9.352,9.366
HD  71778,08 26 10.0576386158,-58 46 04.806222611,-7.737,-0.493,10.56,10.49,10.258,10.31,10.238
HD 188624,19 59 19.0145408986,-58 48 27.540502964,5.348,-7.915,9.67,9.64,9.523,9.544,9.549
HD  89330,10 16 38.0083548711,-58 50 59.919135666,-15.689,9.068,8.92,8.91,8.82,8.869,8.824
HD  97829,11 14 28.4257019063,-58 51 40.178261554,-13.125,8.533,8.83,8.76,8.672,8.676,8.665
HD  95948,11 03 12.4754459914,-58 53 31.246204509,-10.229,5.521,9.331,9.266,9.17,9.145,9.125
HD  96969,11 08 58.3234575020,-58 57 33.395955960,-10.701,5.339,9.044,9.018,8.942,9.007,8.948
HIP 100333,20 20 53.4986159109,-59 02 08.644688215,10.35,-28.08,7.89,7.87,7.824,7.886,7.826
HD  91808,10 34 42.1446246831,-59 05 20.294009232,-15.394,1.017,9.42,9.42,9.296,9.328,9.311
HD 205711,21 39 25.5122432760,-59 14 22.473320883,6.325,-3.238,10.628,10.598,10.663,10.694,10.69
HD 154789,17 11 11.4063607822,-59 44 44.467771695,-2.558,-5.579,10.03,10.05,9.863,9.893,9.877
HD 150868,16 47 16.6127922033,-59 46 09.213605338,-0.465,-3.395,9.87,9.84,9.618,9.672,9.595
HD 106671,12 16 14.8335284121,-59 53 05.135460933,-7.598,-5.488,8.95,8.91,8.619,8.656,8.618
HD 153928,17 06 00.5953914659,-60 03 08.600495311,-1.915,0.032,9.95,9.93,9.756,9.731,9.71
HD  88934,10 13 40.3397060939,-60 15 47.998344992,-29.286,25.404,7.39,7.39,7.291,7.318,7.318
HIP  30463,06 24 13.8422275462,-60 16 52.761283140,-31.653,30.85,5.767,5.766,5.755,5.803,5.754
HD  87169,10 01 18.1716728539,-60 20 06.843621001,-14.115,3.876,9.36,9.35,9.395,9.388,9.387
HIP  92196,18 47 22.8925305718,-60 22 30.366894249,11.084,-17.579,7.5,7.47,7.304,7.352,7.287
HD 149280,16 37 18.8905265888,-60 29 27.272277795,-0.411,-7.606,9.97,9.91,9.609,9.62,9.623
HD 218076,23 06 01.6840159708,-60 34 42.994357924,2.257,5.109,9.9,9.84,9.819,9.793,9.781
HIP  37212,07 38 38.0214028055,-60 37 45.847441034,-7.278,31.869,7.67,7.61,7.512,7.573,7.488
CD-60  1985,07 58 37.7784853417,-60 39 20.463603113,-5.566,10.202,9.67,9.6,9.362,9.344,9.311
HD  85231,09 48 17.0331458965,-60 44 14.223384910,-11.249,8.394,10.3,10.29,10.012,10.014,9.991
HD  43373,06 11 48.0750764730,-60 49 47.250921408,3.461,23.979,8.65,8.64,8.561,8.57,8.557
HD  95044,10 57 09.6100528611,-60 50 43.632147367,-17.585,6.627,9.31,9.24,8.95,9.02,8.964
HD  66656,08 01 02.6550073542,-60 55 58.947850046,-17.344,17.305,8.37,8.3,8.156,8.138,8.125
