,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,SP_TYPE,SP_QUAL,SP_BIBCODE,OTYPE_S,OTYPES,PLX_VALUE,PLX_PREC,PLX_ERROR,PLX_QUAL,PLX_BIBCODE,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,25s,1.5m,B-V,J-K,Mv,CRITERIA,MASK_E(B-V),MASK_E(J-K),MASK_SP_TYPE,MASK_OTYPE,MASK_25s,MASK_Mv,MASK_1.5m,MASK_N,MASK_Good
HIP23737,HD  33875,05 06 09.2960,-73 02 15.611,14,14,0.0409,0.05,90,A,O,2018yCat.1345....0G,,6.2620000000000005,6.257000000000001,,,6.218999999999999,6.239,6.2139999999999995,A1V,C,1975MSS...C01....0H,PM*,*|PM*|IR|UV,7.8184,4,0.0407,A,2018yCat.1345....0G,17.553,62.786,3,3,0.079,0.087,90,A,2018yCat.1345....0G,2.0,1.0,0.004999999999999893,0.004999999999999893,0.7043394288111933,SPTYPE=A1V;1 close objects;,0,0,1,0,1,0,0,2,False
HD103716,HD 103716,11 56 25.2588,-73 02 45.327,14,14,0.0236,0.0236,90,A,O,2018yCat.1345....0G,,10.74,10.55,,,10.091000000000001,10.014,9.997,A0V,C,1975MSS...C01....0H,Star,*|IR,1.3917,4,0.0261,A,2018yCat.1345....0G,-7.07,-0.7440000000000001,3,3,0.045,0.040999999999999995,90,A,2018yCat.1345....0G,1.0,1.0,0.1899999999999995,0.0940000000000012,0.5742281361921135,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD213907,HD 213907,22 37 31.0715,-73 33 14.822,14,14,0.0278,0.0304,90,A,O,2018yCat.1345....0G,,10.302999999999999,10.004,,,8.772,8.45,8.353,A0V,C,1975MSS...C01....0H,Star,*|IR,1.9697,4,0.0344,A,2018yCat.1345....0G,1.901,-0.8859999999999999,3,3,0.057,0.059000000000000004,90,A,2018yCat.1345....0G,1.0,1.0,0.2989999999999995,0.4190000000000005,0.3846504245490547,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD135755,HD 135755,15 22 28.0727,-73 34 48.285,14,14,0.0385,0.0382,90,A,O,2018yCat.1345....0G,,10.69,10.61,,,10.341,10.347999999999999,10.335,A0V,C,1975MSS...C01....0H,Star,*|IR,1.733,4,0.0488,A,2018yCat.1345....0G,-6.44,-6.189,3,3,0.07400000000000001,0.08199999999999999,90,A,2018yCat.1345....0G,1.0,1.0,0.08000000000000007,0.005999999999998451,1.511992813569584,E(B-V)>0.1;Mv=1.511992813569584;,1,0,0,0,0,1,0,2,False
HD142814,HD 142814,16 02 59.3599,-73 35 17.235,14,14,0.0333,0.0455,90,A,O,2018yCat.1345....0G,,8.32,8.33,,,8.29,8.342,8.33,A0V(n),C,1975MSS...C01....0H,Star,*|IR,3.0571,4,0.0513,A,2018yCat.1345....0G,-3.928,-10.46,3,3,0.065,0.096,90,A,2018yCat.1345....0G,1.0,1.0,-0.009999999999999787,-0.040000000000000924,0.7930482252592918,E(J-K)>0.05;SPTYPE=A0V(n);,0,1,1,0,0,0,0,2,False
HD99206,HD  99206,11 23 36.4804,-73 42 46.905,14,14,0.0243,0.0222,90,A,O,2018yCat.1345....0G,,9.94,9.71,,,9.021,9.017000000000001,8.911,A0V,C,1975MSS...C01....0H,Star,*|IR,3.1038,4,0.0256,A,2018yCat.1345....0G,-19.375,-0.49700000000000005,3,3,0.044000000000000004,0.040999999999999995,90,A,2018yCat.1345....0G,1.0,1.0,0.22999999999999865,0.11000000000000121,1.3299686439636378,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HIP62243,HD 110720,12 45 23.6933,-73 47 49.302,14,14,0.042,0.0376,90,A,O,2018yCat.1345....0G,,8.32,8.22,,,7.896,7.909,7.815,A0V,C,1975MSS...C01....0H,Star,*|IR,4.8272,4,0.0511,A,2018yCat.1345....0G,-33.115,-3.24,3,3,0.047,0.040999999999999995,90,A,2016A&A...595A...2G,1.0,1.0,0.09999999999999964,0.08099999999999952,1.2734764641545693,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD143721,HD 143721,16 08 41.0265,-73 49 02.842,14,14,0.0377,0.0342,90,A,O,2018yCat.1345....0G,,10.07,9.99,,,9.795,9.801,9.812000000000001,A0V,C,1975MSS...C01....0H,Star,*|IR,2.5959,4,0.0485,A,2018yCat.1345....0G,-6.495,-10.74,3,3,0.064,0.073,90,A,2018yCat.1345....0G,1.0,1.0,0.08000000000000007,-0.017000000000001236,1.769439792173475,E(B-V)>0.1;Mv=1.769439792173475;,1,0,0,0,0,1,0,2,False
HD99557,HD  99557,11 26 00.3392,-73 49 15.538,14,14,0.0269,0.0255,90,A,O,2018yCat.1345....0G,,9.24,9.03,,,8.478,8.39,8.304,A0V,C,1975MSS...C01....0H,Star,*|IR,3.6171,4,0.028999999999999998,A,2018yCat.1345....0G,-23.303,-3.1210000000000004,3,3,0.052000000000000005,0.045,90,A,2018yCat.1345....0G,1.0,1.0,0.21000000000000085,0.1739999999999995,1.0553025781567957,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD85827,HD  85827,09 50 08.3384,-74 12 14.347,14,14,0.0471,0.0481,90,A,O,2018yCat.1345....0G,,8.02,7.93,,,7.7010000000000005,7.67,7.593999999999999,A0V,C,1975MSS...C01....0H,Star,*|IR,5.164,4,0.0503,A,2018yCat.1345....0G,-29.688000000000002,10.261,3,3,0.092,0.087,90,A,2018yCat.1345....0G,1.0,1.0,0.08999999999999986,0.1070000000000011,1.1664311679719135,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
